file,section,key
bin/OpenSimDefaults.ini,IRC,relay_private_channel_out
bin/OpenSimDefaults.ini,IRC,relay_chat
bin/OpenSimDefaults.ini,IRC,access_password
bin/OpenSimDefaults.ini,IRC,msgformat
bin/OpenSimDefaults.ini,IRC,exclude_list
bin/OpenSimDefaults.ini,IRC,alert_show
bin/OpenSimDefaults.ini,IRC,alert_show_serverinfo
bin/OpenSimDefaults.ini,IRC,alert_msg_pre
bin/OpenSimDefaults.ini,IRC,alert_msg_post
bin/OpenSimDefaults.ini,Wind,enabled
bin/OpenSimDefaults.ini,Wind,wind_update_rate
bin/OpenSimDefaults.ini,Wind,wind_plugin
bin/OpenSimDefaults.ini,Wind,avg_strength
bin/OpenSimDefaults.ini,Wind,avg_direction
bin/OpenSimDefaults.ini,Wind,var_strength
bin/OpenSimDefaults.ini,Wind,var_direction
bin/OpenSimDefaults.ini,Wind,rate_change
bin/OpenSimDefaults.ini,Wind,strength
bin/OpenSimDefaults.ini,Trees,enabled
bin/OpenSimDefaults.ini,Trees,active_trees
bin/OpenSimDefaults.ini,Trees,update_rate
bin/OpenSimDefaults.ini,Trees,allowGrow
bin/OpenSimDefaults.ini,VectorRender,font_name
bin/OpenSimDefaults.ini,LL-Functions,AllowosConsoleCommand
bin/OpenSimDefaults.ini,LL-Functions,AllowGodFunctions
bin/OpenSimDefaults.ini,LL-Functions,RestrictEmail
bin/OpenSimDefaults.ini,LL-Functions,max_listens_per_region
bin/OpenSimDefaults.ini,LL-Functions,max_listens_per_script
bin/OpenSimDefaults.ini,LL-Functions,max_external_urls_per_simulator
bin/OpenSimDefaults.ini,LL-Functions,UseSimpleBoxesInGetBoundingBox
bin/OpenSimDefaults.ini,LL-Functions,AddStatsInGetBoundingBox
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxStandingXconst
bin/OpenSimDefaults.ini,LL-Functions,UpperAvatarBoundingBoxStandingXconst
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxStandingYconst
bin/OpenSimDefaults.ini,LL-Functions,UpperAvatarBoundingBoxStandingYconst
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxStandingZconst
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxStandingZcoeff
bin/OpenSimDefaults.ini,LL-Functions,UpperAvatarBoundingBoxStandingZconst
bin/OpenSimDefaults.ini,LL-Functions,UpperAvatarBoundingBoxStandingZcoeff
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxGroundsittingXconst
bin/OpenSimDefaults.ini,LL-Functions,UpperAvatarBoundingBoxGroundsittingXconst
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxGroundsittingYconst
bin/OpenSimDefaults.ini,LL-Functions,UpperAvatarBoundingBoxGroundsittingYconst
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxGroundsittingZconst
bin/OpenSimDefaults.ini,LL-Functions,LowerAvatarBoundingBoxGroundsittingZcoeff
