Module,File,Line,Hard-coded value,Expected config section/key
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,286,0,Economy:PriceObjectClaim
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,287,4,Economy:PricePublicObjectDecay
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,288,0,Economy:PricePublicObjectDelete
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,289,0,Economy:PriceParcelClaim
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,291,0,Economy:PriceUpload
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,292,0,Economy:PriceRentLight
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,293,0,Economy:TeleportMinPrice
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,295,1,Economy:EnergyEfficiency
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,296,0,Economy:PriceObjectRent
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,297,10,Economy:PriceObjectScaleFactor
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,298,0,Economy:PriceParcelRent
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,299,-1,Economy:PriceGroupCreate
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,300,true,Economy:SellEnabled
OpenSim.Region.OptionalModules.World.NPC,OpenSim/Region/OptionalModules/World/NPC/NPCModule.cs,64,true,NPC:Enabled
OpenSim.Region.OptionalModules.World.NPC,OpenSim/Region/OptionalModules/World/NPC/NPCModule.cs,68,true,NPC:AllowNotOwned
OpenSim.Region.OptionalModules.World.NPC,OpenSim/Region/OptionalModules/World/NPC/NPCModule.cs,71,true,NPC:AllowSenseAsAvatar
OpenSim.Region.OptionalModules.World.NPC,OpenSim/Region/OptionalModules/World/NPC/NPCModule.cs,74,true,NPC:AllowCloneOtherAvatars
OpenSim.Region.OptionalModules.World.NPC,OpenSim/Region/OptionalModules/World/NPC/NPCModule.cs,77,true,NPC:NoNPCGroup
OpenSim.Region.CoreModules.ServiceConnectorsIn.Freeswitch,OpenSim/Region/OptionalModules/ServiceConnectorsIn/Freeswitch/FreeswitchServiceInConnectorModule.cs,59,false,Modules:FreeswitchServiceInConnector
OpenSim.Region.OptionalModules.Scripting.RegionReady,OpenSim/Region/OptionalModules/Scripting/RegionReadyModule/RegionReadyModule.cs,78,false,
OpenSim.Region.OptionalModules.Scripting.RegionReady,OpenSim/Region/OptionalModules/Scripting/RegionReadyModule/RegionReadyModule.cs,83,false,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs,163,null,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs,165,null,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs,167,null,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs,168,null,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs,214,"""""",
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/IRCBridgeModule.cs,79,false,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs,93,false,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs,98,true,
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs,102,"""""",
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs,102,"""""",
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs,102,"""""",
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs,104,"""This region is linked to Irc.""",
OpenSim.Region.OptionalModules.Avatar.Chat,OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs,105,"""Everything you say in public chat can be listened.""",
OpenSim.Region.OptionalModules.Avatar.Concierge,OpenSim/Region/OptionalModules/Avatar/Concierge/ConciergeModule.cs,85,false,Concierge:enabled
OpenSim.Region.OptionalModules.Avatar.Concierge,OpenSim/Region/OptionalModules/Avatar/Concierge/ConciergeModule.cs,115,"""conferencier""",Concierge:whoami
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsMessagingModule.cs,97,false,Groups:Enabled
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsMessagingModule.cs,98,"""""",Groups:MessagingModule
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsMessagingModule.cs,104,true,Groups:MessagingEnabled
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsMessagingModule.cs,111,false,Groups:MessageOnlineUsersOnly
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsModule.cs,104,false,Groups:Enabled
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsModule.cs,108,"""Default""",Groups:Module
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsModule.cs,116,true,Groups:NoticesEnabled
OpenSim.Region.OptionalModules.Avatar.XmlRpcGroups,OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsModule.cs,117,false,Groups:DebugEnabled
