Section                | Key                                       | Value in OpenSimDefaults.ini                                                                                                                                                                                                | Value in OpenSim.ini                                                                                                                                                                                                        | Value in OpenSim.ini.template                                               
Chat                   | say_distance                              | 20                                                                                                                                                                                                                          | 30                                                                                                                                                                                                                          | 30                                                                          
Chat                   | shout_distance                            | 100                                                                                                                                                                                                                         | 50                                                                                                                                                                                                                          | 50                                                                          
EntityTransfer         | LandingPointBehavior                      | LandingPointBehavior_OS                                                                                                                                                                                                     | LandingPointBehavior_SL                                                                                                                                                                                                     | LandingPointBehavior_SL                                                     
Messaging              | OfflineMessageModule                      | OfflineMessageModule                                                                                                                                                                                                        | "Offline Message Module V2"                                                                                                                                                                                                 | OfflineMessageModule                                                        
Messaging              | OfflineMessageURL                         | http://yourserver/Offline.php                                                                                                                                                                                               | ${Const|PrivURL}:${Const|PrivatePort}                                                                                                                                                                                       | http://yourserver/Offline.php                                               
Inventory              | CoalesceMultipleObjectsToInventory        | true                                                                                                                                                                                                                        | true                                                                                                                                                                                                                        | false                                                                       
Attachments            | WearReplacesAll                           | true                                                                                                                                                                                                                        | true                                                                                                                                                                                                                        | false                                                                       
Mesh                   | MeshFileCacheExpireHours                  | 48                                                                                                                                                                                                                          | 48                                                                                                                                                                                                                          | 72                                                                          
ODEPhysicsSettings     | physics_logging                           | true                                                                                                                                                                                                                        | true                                                                                                                                                                                                                        | false                                                                       
ODEPhysicsSettings     | mesh_lod                                  | 32                                                                                                                                                                                                                          | 32                                                                                                                                                                                                                          | 32     ; 32x32 = 1024 vertices                                              
ODEPhysicsSettings     | mesh_physical_lod                         | 16                                                                                                                                                                                                                          | 16                                                                                                                                                                                                                          | 16   ; 16x16 = 256 vertices                                                 
BulletSim              | AvatarHeightLowFudge                      | 0      ; Adjustment at low end of height range                                                                                                                                                                              | 0      ; Adjustment at low end of height range                                                                                                                                                                              | 0                                                                           
BulletSim              | AvatarHeightMidFudge                      | 0      ; Adjustment at mid point of avatar height range                                                                                                                                                                     | 0      ; Adjustment at mid point of avatar height range                                                                                                                                                                     | 0                                                                           
BulletSim              | AvatarHeightHighFudge                     | 0     ; Adjustment at high end of height range                                                                                                                                                                              | 0     ; Adjustment at high end of height range                                                                                                                                                                              | 0                                                                           
BulletSim              | AvatarStepHeight                          | 0.6              ; The height, below which is considered a step collision.                                                                                                                                                  | 0.6              ; The height, below which is considered a step collision.                                                                                                                                                  | 0.6                                                                         
BulletSim              | AvatarStepAngle                           | 0.3               ; The angle from vertical (in radians) to consider a surface a step                                                                                                                                       | 0.3               ; The angle from vertical (in radians) to consider a surface a step                                                                                                                                       | 0.3                                                                         
BulletSim              | AvatarStepApproachFactor                  | 2        ; Approach angle factor. O=straight on, .6=~45 degrees.                                                                                                                                                            | 2        ; Approach angle factor. O=straight on, .6=~45 degrees.                                                                                                                                                            | 2                                                                           
